frequency_mhz,max_gain_db,max_gain_theta,max_gain_phi,impedance_real,impedance_imag,input_power_w,radiated_power_w,efficiency_pct
2400.0,,,,61.3821,5.16174,0.0080885,0.0080885,100.0
2100.0,14.33,-14.0,0.0,10.0507,-33.5025,0.0041076,0.0041076,100.0
2115.0,14.46,-13.0,0.0,10.318,-29.4415,0.0053007,0.0053007,100.0
2130.0,14.58,-13.0,0.0,10.6548,-25.328,0.0070559,0.0070559,100.0
2145.0,14.69,-13.0,0.0,11.0733,-21.1587,0.0097081,0.0097081,100.0
2160.0,14.79,-13.0,0.0,11.587,-16.9301,0.013765,0.013765,100.0
2175.0,14.87,-13.0,0.0,12.2141,-12.6402,0.019766,0.019766,100.0
2190.0,14.93,-13.0,0.0,12.9758,-8.29,0.027364,0.027364,100.0
2205.0,14.98,-13.0,0.0,13.8963,-3.88253,0.033376,0.033376,100.0
2220.0,15.01,-12.0,0.0,15.0046,0.575484,0.033274,0.033274,100.0
2235.0,15.02,-12.0,0.0,16.3317,5.07122,0.027923,0.027923,100.0
2250.0,15.01,-11.0,0.0,17.9062,9.59439,0.021695,0.021695,100.0
2265.0,15.0,-10.0,0.0,19.7665,14.1507,0.016724,0.016724,100.0
2280.0,15.22,-1.0,0.0,22.0003,18.7765,0.013149,0.013149,100.0
2295.0,15.48,-1.0,0.0,24.816,23.4768,0.010632,0.010632,100.0
2310.0,15.63,0.0,0.0,28.5298,28.103,0.0088948,0.0088948,100.0
2325.0,15.69,0.0,0.0,33.4782,32.2913,0.007737,0.007737,100.0
2340.0,15.69,0.0,0.0,40.0125,35.3847,0.0070122,0.0070122,100.0
2355.0,15.66,0.0,0.0,48.2897,36.1033,0.0066417,0.0066417,100.0
2370.0,15.61,0.0,0.0,57.6105,32.2552,0.0066077,0.0066077,100.0
2385.0,15.54,0.0,0.0,64.4323,21.3237,0.0069941,0.0069941,100.0
2400.0,15.43,0.0,0.0,61.3821,5.16174,0.0080885,0.0080885,100.0
2415.0,15.27,0.0,0.0,45.6839,-5.50885,0.010788,0.010788,100.0
2430.0,15.03,0.0,0.0,27.0797,-3.40076,0.018177,0.018177,100.0
2445.0,14.61,0.0,0.0,14.1312,6.67277,0.028932,0.028932,100.0
2460.0,13.85,0.0,0.0,7.21191,18.5529,0.0091009,0.0091009,100.0
2475.0,12.44,0.0,0.0,4.09232,29.6834,0.0022789,0.0022789,100.0
2490.0,10.53,0.0,0.0,3.03187,39.564,0.0009628,0.0009628,100.0
2505.0,9.54,0.0,0.0,3.04518,48.3365,0.0006491,0.0006491,100.0
2520.0,9.65,0.0,0.0,3.61686,56.2598,0.000569,0.000569,100.0
2535.0,10.0,-12.0,0.0,4.47762,63.5585,0.00055147,0.00055147,100.0
2550.0,10.17,-14.0,0.0,5.4895,70.4108,0.00055029,0.00055029,100.0
2565.0,10.23,-16.0,0.0,6.58283,76.9504,0.00055182,0.00055182,100.0
2580.0,10.24,-18.0,0.0,7.72233,83.274,0.00055205,0.00055205,100.0
2595.0,10.24,-19.0,0.0,8.89132,89.4541,0.00055013,0.00055013,100.0
2610.0,10.22,-20.0,0.0,10.0842,95.5427,0.00054627,0.00054627,100.0
2625.0,10.21,-20.0,0.0,11.3068,101.579,0.00054119,0.00054119,100.0
2640.0,10.21,-21.0,0.0,12.5554,107.601,0.00053493,0.00053493,100.0
2655.0,10.22,-22.0,0.0,13.8343,113.629,0.0005279,0.0005279,100.0
2670.0,10.25,-22.0,0.0,15.1531,119.679,0.00052063,0.00052063,100.0
2685.0,10.29,-22.0,0.0,16.5196,125.772,0.0005133,0.0005133,100.0
2700.0,10.33,-23.0,0.0,17.9329,131.916,0.00050591,0.00050591,100.0
